"Name","Team","G","PA","AB","H","2B","3B","HR","R","RBI","BB","SO","HBP","SB","CS","AVG","OBP","SLG","OPS","wOBA","Fld","BsR","WAR","ADP","playerid"
"Adley Rutschman","","144","594","536","123","29","0","16","68","70","46","126","4","6","0",".229",".291",".373",".664",".284","4.0","0.9","1.5","999.0","sa3011643"
"Samuel Huff","Rangers","120","477","447","109","21","2","20","56","56","24","156","5","4","7",".244",".289",".434",".723",".303","6.0","-2.5","1.5","999.0","22209"
"Carson Kelly","Diamondbacks","113","389","348","84","17","0","14","43","50","37","81","3","0","0",".241",".319",".411",".730",".310","2.0","-0.2","1.5","251.2","13620"
"Mitch Garver","Twins","101","364","322","75","15","1","17","50","53","37","108","3","0","0",".233",".316",".444",".760",".321","-4.0","-0.2","1.4","196.3","15161"
"Ben Rortvedt","Twins","100","401","362","80","18","2","10","41","37","32","94","5","0","0",".221",".292",".365",".656",".281","8.0","-0.2","1.4","999.0","sa917942"
"Austin Nola","Padres","115","430","378","93","19","2","10","49","54","41","86","6","2","1",".246",".326",".386",".713",".306","-1.0","-0.3","1.4","159.8","15941"
"Jacob Stallings","Pirates","95","332","298","76","17","0","6","33","33","25","74","4","0","1",".255",".318",".372",".691",".296","6.0","-0.6","1.4","396.5","13723"
"Yan Gomes","Nationals","100","378","344","87","18","1","13","42","49","25","86","6","2","0",".253",".312",".424",".737",".310","1.0","0.2","1.4","329.8","9627"
"Austin Allen","Athletics","109","410","380","91","22","0","17","45","59","25","116","3","0","1",".239",".290",".432",".722",".301","-2.0","-0.6","1.3","600.6","18083"
"Gary Sanchez","Yankees","111","448","396","84","14","0","28","59","88","42","141","8","0","0",".212",".299",".460",".759",".317","-9.0","-0.2","1.3","166.4","11442"
"James McCann","Mets","114","434","397","95","16","1","14","47","51","26","124","8","2","2",".239",".297",".390",".688",".294","1.0","-0.7","1.3","175.2","12859"
"Daulton Varsho","Diamondbacks","111","428","385","93","17","4","13","54","42","34","101","7","14","4",".242",".313",".408",".721",".307","-2.0","0.8","1.3","147.0","19918"
"Ryan Jeffers","Twins","99","361","330","79","12","0","12","37","36","25","92","6","0","0",".239",".305",".385",".690",".297","2.0","-0.2","1.3","999.0","24618"
"Tomas Telis","","103","376","352","98","17","2","5","40","36","18","41","3","1","1",".278",".317",".381",".698",".299","1.0","-0.4","1.2","999.0","10067"
"Max Stassi","Angels","86","279","245","56","10","0","11","30","37","26","72","5","0","1",".229",".312",".404",".716",".306","1.0","-0.6","1.2","376.0","10059"
"Keibert Ruiz","Dodgers","97","398","370","95","13","0","12","43","43","22","45","4","0","0",".257",".304",".389",".693",".296","1.0","-0.2","1.2","591.0","19610"
"Austin Barnes","Dodgers","106","325","278","63","12","1","6","40","35","37","73","6","5","2",".227",".329",".342",".671",".295","3.0","-0.1","1.2","544.4","12158"
"Martin Maldonado","Astros","110","380","335","71","14","0","12","42","41","32","110","8","1","1",".212",".295",".361",".656",".284","3.0","-0.4","1.2","484.2","6887"
"Kevin Plawecki","Red Sox","88","311","279","74","17","2","6","30","41","23","54","7","1","1",".265",".334",".405",".739",".317","-1.0","-0.4","1.2","573.3","13807"
"Roberto Perez","Indians","102","362","316","64","10","1","11","29","41","35","112","4","0","0",".203",".289",".345",".633",".276","9.0","-0.2","1.2","468.9","2900"
"Alex Avila","Nationals","77","236","193","38","7","0","7","21","22","40","87","2","0","0",".197",".339",".342",".681",".300","4.0","-0.1","1.1","599.7","7476"
"Victor Caratini","Padres","116","366","323","80","17","1","8","38","50","34","77","6","0","1",".248",".328",".381",".709",".305","-1.0","-0.6","1.1","474.8","14968"
"Brian O'Keefe","Mariners","94","377","339","72","15","0","11","39","38","33","105","3","2","1",".212",".286",".354",".640",".277","4.0","-0.2","1.1","999.0","sa829152"
"Andrew Knizner","Cardinals","94","361","330","83","14","1","8","38","37","20","63","6","2","1",".252",".303",".373",".676",".289","3.0","-0.2","1.0","517.9","19514"
"Francisco Mejia","Rays","117","411","379","89","19","3","11","45","41","20","86","7","1","1",".235",".283",".388",".671",".283","1.0","-0.4","1.0","459.4","16403"
"Chance Sisco","Orioles","110","395","340","79","15","0","13","45","44","38","122","15","0","1",".232",".334",".391",".725",".316","-7.0","-0.7","1.0","517.5","15694"
"Jamie Ritchie","","86","336","295","71","15","1","5","37","26","34","73","5","2","0",".241",".327",".349",".677",".298","2.0","0.2","1.0","999.0","sa829058"
