"Name","Team","G","PA","AB","H","2B","3B","HR","R","RBI","BB","SO","HBP","SB","CS","-1","AVG","OBP","SLG","OPS","wOBA","-1","wRC+","BsR","Fld","-1","Off","Def","WAR","-1","ADP","playerid"
"Anthony Phillips","Rockies","0","1","1","0","0","0","0","0","0","0","0","0","0","0","",".247",".301",".356",".657",".283","","57","0.0","0.0","","-0.1","0.0","0.0","","999.0","sa392886"
"Dorssys Paulino","","0","1","1","0","0","0","0","0","0","0","0","0","0","0","",".229",".302",".349",".651",".283","","73","0.0","0.0","","0.0","0.0","0.0","","999.0","sa659464"
"Ruben Tejada","","0","1","1","0","0","0","0","0","0","0","0","0","0","0","",".231",".291",".326",".617",".269","","63","0.0","0.0","","0.0","0.0","0.0","","999.0","5519"
"Jake Gatewood","","0","1","1","0","0","0","0","0","0","0","0","0","0","0","",".208",".263",".354",".617",".263","","59","0.0","0.0","","-0.1","0.0","0.0","","999.0","sa828685"
"Luis Sardinas","","0","1","1","0","0","0","0","0","0","0","0","0","0","0","",".236",".283",".330",".613",".265","","60","0.0","0.0","","-0.1","0.0","0.0","","999.0","13153"
"Jeremy Rivera","","0","1","1","0","0","0","0","0","0","0","0","0","0","0","",".228",".270",".316",".586",".254","","53","0.0","0.0","","-0.1","0.0","0.0","","999.0","sa829240"
"Yonathan Mendoza","","0","1","1","0","0","0","0","0","0","0","0","0","0","0","",".228",".293",".301",".595",".263","","59","0.0","0.0","","-0.1","0.0","0.0","","999.0","sa596904"
"Ryan Vilade","","0","1","1","0","0","0","0","0","0","0","0","0","0","0","",".247",".298",".347",".645",".279","","55","0.0","0.0","","-0.1","0.0","0.0","","999.0","sa3004256"
"Joey Wong","","0","1","1","0","0","0","0","0","0","0","0","0","0","0","",".199",".288",".276",".564",".254","","53","0.0","0.0","","-0.1","0.0","0.0","","999.0","sa502131"
"Andruw Monasterio","","0","1","1","0","0","0","0","0","0","0","0","0","0","0","",".230",".290",".313",".603",".264","","57","0.0","0.0","","-0.1","0.0","0.0","","999.0","sa830359"
"Peter Mooney","","0","1","1","0","0","0","0","0","0","0","0","0","0","0","",".219",".288",".311",".599",".263","","59","0.0","0.0","","-0.1","0.0","0.0","","999.0","sa503239"
"Stephen Perez","","0","1","1","0","0","0","0","0","0","0","0","0","0","0","",".206",".281",".290",".571",".253","","53","0.0","0.0","","-0.1","0.0","0.0","","999.0","sa501997"
"Chris Mariscal","","0","1","1","0","0","0","0","0","0","0","0","0","0","0","",".205",".272",".301",".573",".252","","56","0.0","0.0","","-0.1","0.0","0.0","","999.0","sa600255"
"Luis Gonzalez","","0","1","1","0","0","0","0","0","0","0","0","0","0","0","",".237",".274",".333",".608",".261","","58","0.0","0.0","","-0.1","0.0","0.0","","999.0","sa736875"
"Alberti Chavez","","0","1","1","0","0","0","0","0","0","0","0","0","0","0","",".217",".269",".308",".578",".252","","51","0.0","0.0","","-0.1","0.0","0.0","","999.0","sa657456"
"Jeremy Pena","","0","1","1","0","0","0","0","0","0","0","0","0","0","0","",".210",".260",".296",".556",".242","","49","0.0","0.0","","-0.1","0.0","0.0","","999.0","sa876320"
