"Name","Team","G","PA","AB","H","2B","3B","HR","R","RBI","BB","SO","HBP","SB","CS","-1","AVG","OBP","SLG","OPS","wOBA","-1","wRC+","BsR","Fld","-1","Off","Def","WAR","-1","ADP","playerid"
"Adam Haseley","Phillies","92","366","329","84","17","1","9","40","40","27","76","5","4","2","",".255",".318",".396",".714",".305","","85","0.4","0.8","","-6.8","0.0","0.5","","999.0","19878"
"Jake Cave","Twins","91","368","331","81","16","3","11","43","44","26","112","6","3","2","",".245",".309",".414",".723",".307","","89","0.3","0.7","","-5.0","-3.5","0.4","","999.0","14477"
"Oscar Mercado","Indians","87","371","337","84","17","1","9","44","39","26","78","4","13","6","",".250",".308",".390",".697",".298","","80","0.8","0.4","","-8.8","-0.1","0.4","","999.0","16375"
"Taylor Ward","Angels","53","215","187","45","8","1","7","25","25","23","59","2","3","1","",".240",".328",".401",".729",".314","","96","0.3","-0.2","","-0.6","-2.9","0.4","","999.0","17548"
"Austin Slater","Giants","50","210","182","46","9","1","6","25","22","22","58","3","5","2","",".250",".339",".405",".743",".320","","100","0.4","-0.1","","0.3","-3.1","0.4","","999.0","16153"
"Ryan Braun","","102","434","393","102","21","2","18","54","60","31","93","5","6","2","",".258",".318",".459",".777",".326","","101","-1.2","-0.9","","-0.8","-10.4","0.3","","999.0","3410"
"Daniel Johnson Jr.","Indians","109","439","398","102","21","3","13","51","51","30","105","5","10","4","",".255",".313",".420",".733",".310","","87","0.3","-0.3","","-6.8","-5.2","0.3","","999.0","19643"
"Tyler O'Neill","Cardinals","58","236","212","49","9","0","12","28","32","19","73","2","3","1","",".232",".299",".442",".741",".312","","93","0.4","1.0","","-1.7","-2.4","0.3","","999.0","15711"
"Brent Rooker","Twins","66","273","244","60","12","1","12","35","38","22","84","4","2","1","",".247",".318",".454",".771",".325","","101","0.2","-0.2","","0.4","-7.0","0.3","","999.0","19627"
"Yusniel Diaz","Orioles","78","315","279","70","13","2","9","36","34","29","66","3","5","3","",".250",".325",".404",".729",".312","","91","0.0","0.0","","-3.4","-4.6","0.3","","999.0","sa912848"
"Christin Stewart","Tigers","104","437","383","91","17","1","18","51","54","43","108","6","1","1","",".237",".320",".427",".747",".317","","95","-0.4","-3.7","","-3.2","-9.3","0.3","","999.0","17714"
"Chas McCormick","Astros","87","355","314","75","12","3","8","39","36","32","65","4","7","3","",".239",".314",".368",".682",".295","","85","0.3","0.0","","-6.6","-3.1","0.3","","999.0","sa3004174"
"Michael A. Taylor","Royals","78","308","278","65","16","1","9","34","34","23","91","2","9","3","",".232",".294",".392",".686",".291","","77","1.0","-1.3","","-8.1","0.0","0.3","","999.0","11489"
"Tyler Naquin","","65","259","239","62","13","1","9","29","32","14","66","3","3","1","",".260",".307",".434",".741",".311","","91","0.3","0.1","","-2.8","-3.2","0.3","","999.0","13359"
"Josh Reddick","","100","407","365","96","17","2","12","46","47","35","67","2","3","1","",".263",".327",".414",".742",".316","","95","-0.2","-2.8","","-3.1","-7.8","0.3","","999.0","3892"
"Ender Inciarte","Braves","110","438","389","96","17","2","7","47","41","38","76","5","13","5","",".247",".319",".359",".678",".294","","78","1.8","3.8","","-11.1","-0.3","0.3","","999.0","4922"
"Leody Taveras","Rangers","133","584","523","128","22","4","13","68","53","48","142","4","22","9","",".245",".311",".380",".691",".296","","74","1.1","-1.5","","-18.7","0.7","0.3","","999.0","18900"
"Garrett Stubbs","Astros","50","204","182","40","8","1","4","21","19","17","43","2","4","2","",".221",".294",".335",".629",".274","","71","0.3","-0.1","","-7.3","3.2","0.3","","999.0","18067"
"Trevor Larnach","","32","131","118","31","6","0","4","16","16","10","31","1","1","0","",".264",".327",".425",".752",".319","","97","0.1","0.0","","-0.4","-1.6","0.3","","999.0","sa3008376"
"Bradley Zimmer","Indians","110","444","393","88","18","2","12","48","47","37","142","8","10","4","",".224",".301",".372",".673",".290","","74","1.1","-0.7","","-13.4","0.3","0.3","","999.0","16221"
"Jarred Kelenic","","76","309","280","67","13","1","10","34","35","21","76","3","7","3","",".238",".296",".406",".702",".298","","87","0.3","0.0","","-4.8","-3.6","0.3","","999.0","sa3007741"
"Josh Rojas","Diamondbacks","40","172","152","38","8","1","4","20","17","16","35","1","6","3","",".251",".328",".396",".723",".311","","89","0.2","0.1","","-2.3","-0.9","0.2","","999.0","19734"
"Tim Locastro","Diamondbacks","76","321","282","70","15","2","6","37","30","21","64","13","11","3","",".247",".326",".377",".702",".305","","85","1.2","-1.9","","-5.0","-3.1","0.2","","999.0","15124"
"Nick Markakis","","96","396","351","95","22","1","8","45","44","38","61","3","2","1","",".271",".343",".412",".755",".323","","99","-1.4","-2.4","","-1.8","-9.3","0.2","","999.0","5930"
"Cedric Mullins II","Orioles","42","175","158","39","7","1","4","20","18","12","35","2","6","2","",".245",".304",".392",".696",".297","","81","0.6","-1.1","","-3.6","-0.4","0.2","","999.0","17929"
"Albert Almora Jr.","","49","198","182","47","9","1","5","21","22","12","38","2","2","1","",".260",".309",".396",".704",".299","","83","-0.2","-0.9","","-4.6","-0.1","0.2","","999.0","14109"
"Edward Olivares","Royals","76","305","281","72","14","2","8","33","34","17","60","3","9","4","",".256",".303",".402",".705",".299","","82","0.3","-0.4","","-6.6","-2.2","0.2","","999.0","19698"
"Darin Ruf","Giants","33","139","122","31","6","0","5","16","17","13","34","2","1","1","",".254",".332",".429",".761",".323","","102","-0.1","-0.6","","0.2","-2.7","0.2","","999.0","9929"
"Jake Marisnick","","60","239","217","49","11","1","8","27","28","16","74","4","5","2","",".227",".289",".403",".692",".293","","79","0.6","-1.2","","-5.9","-0.2","0.2","","999.0","11339"
"Mike Tauchman","Yankees","53","216","188","45","10","1","5","25","23","23","50","2","4","2","",".239",".325",".381",".706",".302","","87","0.1","-0.3","","-3.5","-2.2","0.2","","999.0","15274"
