Rank	Player	Team	Position(s)	ADP	Min Pick	Max Pick	Difference	# Picks	Team	Team Pick
262	Haniger, Mitch	SEA	OF	268.87	200	351		174		
263	Kim, Kwang Hyun	STL	P	268.89	192	429		174		
264	Rosario, Amed	CLE	SS	269.44	151	382		172		
265	Puig, Yasiel	ATL	OF	273.50	207	401		172		
266	Peralta, David	ARZ	OF	274.11	179	346		174		
267	Santana, Carlos	KC	1B	274.19	186	345		174		
268	Dubon, Mauricio	SF	2B, SS, OF	276.03	220	364		174		
269	Holland, Greg	KC	P	279.55	176	491		171		
270	Molina, Yadier	STL	C	280.55	178	365		174		
271	Kirk, Alejandro	TOR	C	281.70	191	409		172		
272	Senzel, Nick	CIN	OF	282.10	216	381		174		
273	Hicks, Aaron	NYY	OF	282.44	217	393		173		
274	Gurriel, Yuli	HOU	1B	282.67	198	359		170		
275	Kiner-Falefa, Isiah	TEX	3B, SS	286.82	200	370		174		
276	Dunning, Dane	TEX	P	287.64	243	372		174		
277	Crichton, Stefan	ARZ	P	289.87	145	536		167		
278	Odorizzi, Jake	MIN	P	292.53	198	370		173		
279	Kopech, Michael	CWS	P	292.66	192	434		173		
280	Sheffield, Justus	SEA	P	293.43	186	387		173		
281	Dalbec, Bobby	BOS	1B	295.97	205	438		173		
282	Reynolds, Bryan	PIT	OF	296.59	221	367		170		
283	Escobar, Eduardo	ARZ	3B	297.82	137	375		168		
284	Minor, Mike	KC	P	298.84	135	388		174		
285	Gallegos, Giovanny	STL	P	301.96	149	522		170		
286	Jansen, Danny	TOR	C	303.37	206	397		172		
287	Bradley, Archie	PHI	P	303.85	167	584		172		
288	Neris, Hector	PHI	P	304.73	177	591		173		
289	Canning, Griffin	LAA	P	305.83	243	400		174		
290	Walker, Taijuan	TOR	P	307.75	233	410		174		
291	Diekman, Jake	OAK	P	307.78	186	525		173		
292	Garrett, Amir	CIN	P	308.99	178	503		173		
293	La Stella, Tommy	SF	1B, 2B	310.60	222	394		170		
294	Boyd, Matthew	DET	P	311.07	215	408		171		
295	Keller, Mitch	PIT	P	311.53	246	416		173		
296	Wendle, Joey	TB	2B, 3B, SS	311.77	223	379		170		
297	Franco, Wander	TB	SS	312.32	168	501		169		
298	Skubal, Tarik	DET	P	312.58	139	393		169		
299	Kingery, Scott	PHI	2B, OF	314.94	205	391		169		
300	Garcia, Avisail	MLW	OF	318.03	213	403		173		
301	Kikuchi, Yusei	SEA	P	318.67	229	426		171		
302	Keller, Brad	KC	P	319.59	214	432		170		
303	Gomes, Yan	WAS	C	321.63	200	392		171		
304	German, Domingo	NYY	P	322.72	228	460		173		
305	Murphy, Tom	SEA	C	322.84	206	411		171		
306	Aguilar, Jesus	MIA	1B	324.22	239	427		169		
307	Dahl, David	TEX	OF	324.25	202	390		169		
308	Lowe, Nate	TEX	1B	324.51	212	395		169		
309	Dickerson, Alex	SF	OF	324.68	179	403		169		
310	Rios, Edwin	LAD	3B	326.81	169	388		169		
311	Syndergaard, Noah	NYM	P	327.18	193	447		173		
312	France, Ty	SEA	2B	327.98	232	400		167		
313	Severino, Pedro	BAL	C	328.97	199	454		170		
314	Bard, Daniel	COL	P	329.07	198	545		167		
315	Garcia, Deivi	NYY	P	330.84	237	444		171		
316	Gore, MacKenzie	SD	P	333.30	214	477		172		
317	Ramos, Wilson	DET	C	334.21	196	461		168		
318	Castro, Starlin	WAS	2B	336.01	226	403		162		
319	Melancon, Mark	SD	P	336.06	208	525		164		
320	Vaughn, Andrew	CWS	1B	336.94	226	421		163		
321	Smith, Caleb	ARZ	P	336.98	227	419		170		
322	Lindblom, Josh	MLW	P	337.37	235	415		168		
323	Pederson, Joc	CHC	OF	338.06	232	468		170		
324	Castillo, Diego	TB	P	339.70	229	561		166		
325	Leclerc, Jose 	TEX	P	340.11	181	524		167		
326	Flores, Wilmer	SF	1B, 2B	343.83	179	425		161		
327	Ray, Robbie	TOR	P	344.24	233	430		166		
328	Adames, Willy	TB	SS	347.53	228	412		163		
329	Votto, Joey	CIN	1B	353.41	203	423		165		
330	Narvaez, Omar	MLW	C	353.47	161	449		169		
331	Eaton, Adam	CWS	OF	354.06	224	399		164		
332	Turnbull, Spencer	DET	P	354.95	244	434		165		
333	Jeffers, Ryan	MIN	C	356.30	272	455		164		
334	Bradley Jr., Jackie	BOS	OF	360.03	182	417		164		
335	Alzolay, Adbert	CHC	P	361.90	260	466		167		
336	Wong, Kolten	MLW	2B	363.04	192	428		160		
337	Peralta, Freddy	MLW	P	364.20	263	444		165		
338	Calhoun, Willie	TEX	OF	364.69	253	403		159		
339	Adell, Jo	LAA	OF	365.94	229	507		165		
340	Upton, Justin	LAA	OF	366.21	224	461		160		
341	Antone, Tejay	CIN	P	367.43	239	460		164		
342	Hernandez, Cesar	CLE	2B	370.39	195	524		160		
343	Dickerson, Corey	MIA	OF	371.27	255	450		159		
344	Sims, Lucas	CIN	P	373.19	237	527		161		
345	Grossman, Robbie	DET	OF	377.97	218	493		165		
346	Hilliard, Sam	COL	OF	379.31	277	460		162		
347	Stassi, Max	LAA	C	380.03	230	484		165		
348	Belt, Brandon	SF	1B	380.70	236	414		158		
349	Bumgarner, Madison	ARZ	P	386.45	241	558		165		
350	Mercado, Oscar	CLE	OF	386.99	226	453		159		
351	Stephenson, Tyler	CIN	C	388.33	235	464		160		
352	Happ, J.A.	MIN	P	389.71	246	493		161		
353	Cron, C.J.	DET	1B	391.59	247	522		154		
354	Harvey, Hunter	BAL	P	391.61	229	581		155		
355	Pillar, Kevin	COL	OF	392.45	273	460		155		
356	Houck, Tanner	BOS	P	394.41	142	524		162		
357	Romano, Jordan	TOR	P	394.70	176	600		148		
358	Huff, Sam	TEX	C	394.79	254	503		162		
359	Martin, Chris	ATL	P	395.41	234	544		157		
360	Lorenzen, Michael	CIN	P	396.34	277	478		167		
361	Ahmed, Nick	ARZ	SS	397.37	256	476		154		
362	Stallings, Jacob	PIT	C	397.40	264	447		160		
363	Mikolas, Miles	STL	P	397.44	251	474		161		
364	Cease, Dylan	CWS	P	398.19	291	487		162		
365	Garcia, Yimi	MIA	P	398.30	224	597		151		
366	Mize, Casey	DET	P	399.22	271	503		163		
367	Renfroe, Hunter	BOS	OF	399.99	226	468		159		
368	Schoop, Jonathan	DET	2B	400.48	237	474		156		
369	Howard, Spencer	PHI	P	400.84	289	482		160		
370	Arraez, Luis	MIN	2B	401.48	203	469		154		
371	White, Evan	SEA	1B	404.88	263	456		155		
372	Cordero, Franchy	BOS	OF	405.01	280	457		158		
373	Pache, Cristian	ATL	OF	405.53	166	480		157		
374	Britton, Zack	NYY	P	408.63	242	520		156		
375	Puk, A.J.	OAK	P	410.01	285	477		162		
376	Peterson, David	NYM	P	410.23	255	465		157		
377	Urias, Luis	MLW	2B, 3B, SS	410.44	273	465		157		
378	Rojas, Miguel	MIA	SS	412.51	255	550		154		
379	Reyes, Alex	STL	P	419.99	243	554		154		
380	Duvall, Adam	MIA	OF	420.49	232	562		155		
381	Wainwright, Adam	STL	P	422.19	243	523		159		
382	Weaver, Luke	ARZ	P	422.56	305	475		158		
383	Richards, Garrett	BOS	P	424.05	229	499		157		
384	Quantrill, Cal	CLE	P	425.68	286	497		153		
385	Chavis, Michael	BOS	1B, 2B, OF	426.18	293	503		156		
386	Martinez, Carlos	STL	P	426.66	253	509		160		
387	Hernandez, Kike	BOS	2B, OF	427.24	171	537		156		
388	Naylor, Josh	CLE	OF	427.34	274	495		150		
389	Lugo, Seth	NYM	P	428.16	233	560		153		
390	Rainey, Tanner	WAS	P	430.24	211	581		139		
391	Goodrum, Niko	DET	2B, SS	430.47	259	457		145		
392	Jones, JaCoby	DET	OF	431.26	264	484		153		
393	Cooper, Garrett	MIA	1B	438.09	261	517		146		
394	Longoria, Evan	SF	3B	438.17	282	464		145		
395	Slater, Austin	SF	OF	438.33	259	534		152		
396	DeSclafani, Anthony	SF	P	440.91	306	504		156		
397	Severino, Luis	NYY	P	443.42	286	545		149		
398	Akiyama, Shogo	CIN	OF	447.67	256	527		147		
399	Moran, Colin	PIT	1B	449.56	311	514		150		
400	Suzuki, Kurt	LAA	C	450.31	253	531		150		
401	Brosseau, Mike	TB	1B, 2B, 3B	450.44	164	520		150		
402	Crawford, J.P.	SEA	SS	450.58	282	504		144		
403	Iglesias, Jose	LAA	SS	451.50	286	478		146		
404	Kintzler, Brandon	MIA	P	455.17	152	697		151		
405	Heyward, Jason	CHC	OF	458.11	297	566		148		
406	Simmons, Andrelton	MIN	SS	460.83	230	523		145		
407	Andrus, Elvis	OAK	SS	461.15	256	559		147		
408	Bass, Anthony	MIA	P	461.29	228	720		144		
409	Straw, Myles	HOU	OF	462.41	184	529		145		
410	Polanco, Gregory	PIT	OF	464.59	328	552		150		
411	Nunez, Renato	BAL	1B	464.65	210	554		142		
412	Bart, Joey	SF	C	465.98	242	575		146		
413	Hoerner, Nico	CHC	2B, SS	467.67	303	489		143		
414	Diaz, Elias	COL	C	468.53	271	557		151		
415	Quintana, Jose	LAA	P	468.67	254	570		151		
416	Treinen, Blake	LAD	P	470.39	278	593		144		
417	Fleming, Josh	TB	P	470.74	274	548		154		
418	Franco, Maikel	KC	3B	472.30	287	534		144		
419	Moronta, Reyes	SF	P	473.07	300	585		147		
420	Hernandez, Jonathan	TEX	P	474.01	254	552		140		
421	Garcia, Bryan	DET	P	475.29	205	551		139		
422	Houser, Adrian	MLW	P	475.74	318	557		151		
423	Mejia, Francisco	TB	C	480.13	252	543		148		
424	Hill, Rich	TB	P	484.90	306	573		152		
425	Mullins, Cedric	BAL	OF	485.96	292	588		139		
426	Fairbanks, Pete	TB	P	486.79	258	576		139		
427	Kieboom, Carter	WAS	3B	487.11	348	520		140		
428	Piscotty, Stephen	OAK	OF	487.23	308	524		142		
429	Mills, Alec	CHC	P	487.47	246	583		153		
430	Stripling, Ross	TOR	P	487.79	359	539		147		
431	Diaz, Yandy	TB	3B	488.83	314	520		141		
432	Pagan, Emilio	SD	P	489.48	294	594		137		
433	O'Neill, Tyler	STL	OF	491.48	292	529		142		
434	Maldonado, Martin	HOU	C	495.82	309	578		147		
435	Staumont, Josh	KC	P	498.16	311	587		131		
436	Patino, Luis	TB	P	500.20	324	550		141		
437	Rogers, Trevor	MIA	P	501.83	328	646		139		
438	Chisholm, Jazz	MIA	2B, SS	502.39	313	536		138		
439	Barnhart, Tucker	CIN	C	503.09	370	554		146		
440	Ponce de Leon, Daniel	STL	P	504.58	325	663		142		
441	Gonzalez, Marwin	BOS	1B, 2B, 3B, OF	504.76	325	543		143		
442	Bader, Harrison	STL	OF	504.86	325	569		136		
443	Perez, Roberto	CLE	C	505.98	304	574		142		
444	Rodgers, Brendan	COL	2B	506.75	282	588		140		
445	Torrens, Luis	SEA	C	507.20	305	587		137		
446	Wendelken, J.B.	OAK	P	507.55	235	576		136		
447	Hudson, Daniel	WAS	P	508.31	176	692		131		
448	Trevino, Jose	TEX	C	508.52	319	595		140		
449	Frazier, Adam	PIT	2B, OF	511.76	334	569		134		
450	Archer, Chris	TB	P	512.66	311	620		149		
451	Caratini, Victor	SD	C	512.75	317	527		135		
452	Fuentes, Josh	COL	1B	513.10	347	538		138		
453	Arcia, Orlando	MLW	SS	515.45	333	571		137		
454	Duffey, Tyler	MIN	P	515.81	281	600		125		
455	Solano, Donovan	SF	2B	515.89	283	584		140		
456	Bote, David	CHC	2B, 3B	515.92	345	562		141		
457	Rutschman, Adley	BAL	C	517.25	302	620		130		
458	Kelly, Merrill	ARZ	P	517.72	297	637		144		
459	Wood, Alex	SF	P	517.92	326	618		141		
460	Kiermaier, Kevin	TB	OF	517.97	336	562		135		
461	Clase, Emmanuel	CLE	P	518.37	328	585		125		
462	Cabrera, Miguel	DET	UT	519.60	306	578		138		
463	Gray, Jon	COL	P	519.69	303	636		149		
464	Tsutsugo, Yoshi	TB	3B, OF	519.91	320	576		138		
465	Bummer, Aaron	CWS	P	520.00	223	644		130		
466	Odor, Rougned	TEX	2B	521.61	267	560		138		
467	Higashioka, Kyle	NYY	C	521.76	332	585		138		
468	Olivares, Edward	KC	OF	521.94	318	590		132		
