team,position,player,salary,AB,R,HR,RBI,SB,AVG,IP,ERA,WHIP,SV,W,K,marginal_total_points,dollar_value
lacugna,CI,Evan Longoria,4,458.1666666666667,57.20806366392529,16.777485919480636,63.66041514372845,2.532432620615828,0.249,NA,NA,NA,NA,NA,NA,1.4238056643097137,4.782541915702573
lacugna,MI,Didi Gregorius,21,525.8333333333334,71.41473826933239,23.234737796791027,80.3978122981581,6.32562739725548,0.26283333333333336,NA,NA,NA,NA,NA,NA,4.081798862747334,13.710701285923404
lacugna,OF1,Max Kepler,18,530.3333333333334,85.3086652665621,27.056692882697828,75.6947183182414,5.438284645248684,0.2475,NA,NA,NA,NA,NA,NA,4.226528704004454,14.196846656472085
lacugna,OF2,Michael Chavis,5,363.8333333333333,47.76660848973572,16.4208641679494,50.69548339591166,3.436725032117061,0.23433333333333334,NA,NA,NA,NA,NA,NA,0.4453563399678213,1.4959452801113984
lacugna,OF3,Nick Solak,16,504.1666666666667,68.53622995590385,16.348718101184527,63.81296099858909,8.658775034186645,0.26733333333333337,NA,NA,NA,NA,NA,NA,3.3261096561864925,11.172352551811974
lacugna,OF4,David Peralta,12,514.5,67.14283736317405,16.869309203252346,71.30013016161594,2.3638444678141726,0.27166666666666667,NA,NA,NA,NA,NA,NA,2.5066740737221016,8.419880695160039
lacugna,OF5,Jared Oliva,3,275.6,29.37939614159955,4.292411375413623,23.0309905725167,11.359068364862333,0.2368,NA,NA,NA,NA,NA,NA,-0.6952754163307306,-2.335419716967754
lacugna,OF6,Oscar Mercado,6,400.5,45.713355856203876,9.228448214653447,38.071003793386005,14.667797649754892,0.23883333333333334,NA,NA,NA,NA,NA,NA,1.5094178001929333,5.070111798740528
lacugna,DH,Marcus Semien,24,568.8333333333334,84.35772120903428,23.03333482702955,70.84485839800121,9.681268862976044,0.2555,NA,NA,NA,NA,NA,NA,4.642675795747169,15.594678508982772
lacugna,P1,Lucas Giolito,14,NA,NA,NA,NA,NA,NA,174,3.59,1.17,0,12,217,10.21,15.899999999999967
lacugna,P2,Julio Urias,12,NA,NA,NA,NA,NA,NA,138.5,4.07,1.29,0,9,137,4.92,6.320000000000009
lacugna,P3,Zach Plesac,1,NA,NA,NA,NA,NA,NA,152,4.34,1.26,0,9,139,5.11,6.650000000000009
lacugna,P4,Chris Bassitt,4,NA,NA,NA,NA,NA,NA,152.5,4.24,1.31,0,9,137,4.75,6.000000000000009
lacugna,P5,Ryan Yarbrough,5,NA,NA,NA,NA,NA,NA,143,4.19,1.25,0,9,120,4.78,6.070000000000009
lacugna,P6,Zack Greinke,25,NA,NA,NA,NA,NA,NA,185,3.99,1.18,0,12,170,8.64,13.06000000000001
lacugna,P7,Garrett Richards,3,NA,NA,NA,NA,NA,NA,66,4.48,1.42,0,Inf,78.04285714285714,NA,NA
lacugna,P8,Lucas Sims,3,NA,NA,NA,NA,NA,NA,59,4.4,1.32,10,3,74,2.31,1.5899999999999985
lacugna,P9,J.B. Wendelken,1,NA,NA,NA,NA,NA,NA,61,3.87,1.29,8,3,67,2.13,1.2699999999999978
lacugna,P10,Jonathan Hernandez,1,NA,NA,NA,NA,NA,NA,63,4.34,1.4,16,3,63,3.11,3.0300000000000047
lacugna,B1,Sixto Sanchez,0,NA,NA,NA,NA,NA,NA,139,3.99,1.28,0,8,121,NA,NA
lacugna,B2,George Kirby,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
lacugna,B3,Daniel Johnson,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
lacugna,B4,Brennan Davis,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
lacugna,B5,Logan Gilbert,0,NA,NA,NA,NA,NA,NA,84,4.61,1.33,0,4,82,NA,NA
lacugna,B6,,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
lacugna,B7,,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
lacugna,B8,,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
lacugna,B9,,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
lacugna,B10,,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
deano,C1,Tucker Barnhart,1,352.1666666666667,41.423902702016754,10.974742361783624,41.42368415373378,1.1572851828071873,0.23233333333333334,NA,NA,NA,NA,NA,NA,-1.0438550154523618,3.493706626923963
deano,C2,Kurt Suzuki,1,253.83333333333334,32.69750798798349,9.244762465305515,37.57070738668409,0.859843604909274,0.25316666666666665,NA,NA,NA,NA,NA,NA,-1.2557394985788528,2.7819898194685675
deano,1B,Ji-Man Choi,1,385.8333333333333,55.718607361132555,16.816181488433955,56.858136721391055,2.3948740576573884,0.23983333333333334,NA,NA,NA,NA,NA,NA,0.9052331761815356,3.0406646897782186
deano,2B,David Fletcher,5,583.1666666666666,75.37537699583457,6.8898933490732865,52.795857154042594,7.851518797601603,0.2778333333333334,NA,NA,NA,NA,NA,NA,2.4395275838166275,8.194336640578038
deano,SS,Xander Bogaerts,24,561,86.79379885457718,25.25194392563988,85.2096008075604,8.70986361876182,0.2875,NA,NA,NA,NA,NA,NA,5.933039205664483,19.928989889469076
deano,3B,Nolan Arenado,32,569.8333333333334,81.40215191730448,30.475240682507728,92.1671542362602,1.9218982986880786,0.273,NA,NA,NA,NA,NA,NA,4.857964998172907,16.317831717604435
deano,CI,Maikel Franco,6,466,54.442023538405685,19.119083629066868,65.50064818934251,0.9692012534001093,0.24983333333333332,NA,NA,NA,NA,NA,NA,1.3139369281515898,4.413494475400218
deano,MI,Corey Seager,19,566.1666666666666,91.67983446897264,28.93790734737792,96.66564935775482,2.840692042292177,0.286,NA,NA,NA,NA,NA,NA,5.7022647498515955,19.15382194649445
deano,OF1,Mookie Betts,41,587.1666666666666,110.32289193167288,32.75515953731948,91.76384735859939,20.251312153191698,0.289,NA,NA,NA,NA,NA,NA,9.824929976972118,33.00179273868288
deano,OF2,Victor Reyes,2,514,62.86555935482563,9.188397939783407,48.59698240088408,15.253519585413128,0.26983333333333337,NA,NA,NA,NA,NA,NA,3.257898733307287,10.943233082803038
deano,OF3,Raimel Tapia,1,509,68.23991772644493,8.698180904388401,52.889080988349086,15.090066204506206,0.28150000000000003,NA,NA,NA,NA,NA,NA,3.778519080764112,12.691989037561125
deano,OF4,Dexter Fowler,2,452.8333333333333,62.655825908271716,15.100658704572972,56.38907049534144,6.906823662128706,0.22716666666666668,NA,NA,NA,NA,NA,NA,1.5696463437286563,5.2724185750104215
deano,OF5,Nomar Mazara,1,378.8333333333333,45.691597141697954,13.738951773317396,50.328149274071976,1.644216325226116,0.24383333333333335,NA,NA,NA,NA,NA,NA,-0.001806700339315126,-0.006068679398095931
deano,OF6,Zac VEEN,1,400,50,12,49.5,4,0.224,NA,NA,NA,NA,NA,NA,NA,NA
deano,DH,Giancarlo Stanton,28,476.6666666666667,82.8044010929014,35.56771018478131,93.17765346524311,3.0825501397732435,0.2495,NA,NA,NA,NA,NA,NA,5.093907331201815,17.110358482797828
deano,P1,Kyle Hendricks,13,NA,NA,NA,NA,NA,NA,182.5,4.06,1.22,0,12,149,7.54,11.06000000000001
