playerid,Name,Team,position,PA,AB,R,HR,RBI,SB,AVG,marginal_total_points,dollar_value,auction_value,status,NFBC_ADP,salary
17128,Ramon Laureano,Athletics,of,607,525.5,79.980893256408,23.16175121582462,72.16985608671573,12.476375414630215,0.24666666666666667,4.8878361874105805,16.418168595158804,32.296567631622295,drafted,143.28,12
9777,Nolan Arenado,Cardinals,3b,614.5,569.8333333333334,81.40215191730448,30.475240682507728,92.1671542362602,1.9218982986880786,0.273,4.857964998172907,16.317831717604435,32.09919258743887,drafted,34.46,32
6184,J.D. Martinez,Red Sox,"dh, of",619.6666666666666,545.5,83.80834833836015,29.314326555069513,90.12450941685032,2.5107367898694304,0.2695,4.807322344080811,16.14772380049954,31.764569281702286,drafted,95.61,30
9256,A.J. Pollock,Dodgers,of,528.5,484.5,72.84693880502961,26.340402701757935,77.55212186957726,9.655859824840318,0.25766666666666665,4.80250871256839,16.131554884297017,31.73276302434549,drafted,NA,18
9256,A.J. Pollock,Dodgers,of,528.5,484.5,72.84693880502961,26.340402701757935,77.55212186957726,9.655859824840318,0.25766666666666665,4.80250871256839,16.131554884297017,31.73276302434549,drafted,197.29,18
14811,Luke Voit,Yankees,1b,596.5,516.1666666666666,86.57685031925188,33.86960027854866,91.79480918543022,0.16165311653116532,0.26333333333333336,4.775807596173005,16.04186623397205,31.556334359709698,drafted,61.93,11
4892,Mike Moustakas,Reds,3b,605,540.8333333333334,77.59563168850798,33.45576388405249,94.07112247779527,2.696054009542711,0.25183333333333335,4.744275566879914,15.935950619530047,31.347985250291995,drafted,119.59,23
11739,J.T. Realmuto,Phillies,catcher,555,524.8333333333334,76.10130151951556,23.98454931531943,81.1560363931073,7.615139965269176,0.26866666666666666,4.701373010748535,22.791841575625792,44.834370449422195,drafted,34.21,24
14344,Matt Olson,Athletics,1b,617,529.1666666666666,82.60185009240254,36.20617794449675,94.58081157234835,1.673583436481295,0.23666666666666666,4.65817712523728,15.646747242724969,30.779086449908565,drafted,90.16,12
5933,Jean Segura,Phillies,"2b, ss",608.6666666666666,567,75.202896643635,15.329973606865618,68.73960776217123,12.827447930148537,0.2773333333333334,4.649603853053376,15.6179497497791,30.72243822065225,drafted,187.31,19
12533,Marcus Semien,Blue Jays,ss,612,568.8333333333334,84.35772120903428,23.03333482702955,70.84485839800121,9.681268862976044,0.2555,4.642675795747169,15.594678508982772,30.67666081266096,drafted,137.8,24
9874,DJ LeMahieu,Yankees,2b,617.5,575.3333333333334,88.92198897124308,18.64137466982158,70.24202013684896,5.863140468212771,0.30016666666666664,4.635137254330507,15.569356661196808,30.62684960717619,drafted,28.59,14
19238,Lourdes Gurriel Jr.,Blue Jays,of,584,532.6666666666666,73.8786699839465,26.327180760588014,82.24959211123677,6.450436477709673,0.26733333333333337,4.612430726738846,15.493085774874814,30.476815343357725,drafted,83.6,11
18314,Dansby Swanson,Braves,ss,622.5,566.3333333333334,81.63613912590412,20.647302663120254,74.96807598314156,10.416022200775236,0.254,4.60691717337588,15.474565831652344,30.440384325162757,drafted,104.48,10
13613,Ketel Marte,Diamondbacks,"2b, ss",619.6666666666666,579.8333333333334,83.29463497329817,19.758024377983787,74.1071137829118,6.942393422990779,0.287,4.599656617208204,15.450177732156998,30.392409918017833,drafted,80.55,11
14566,Franmil Reyes,Indians,"dh, of",628.6666666666666,545.6666666666666,81.26050875692692,34.060960981729984,95.3654260366708,0.1660503609790456,0.2565,4.594378992392673,15.432450269394115,30.357537806872173,drafted,156.31,9
11737,Nicholas Castellanos,Reds,"3b, of",613.3333333333334,583.1666666666666,85.60625840575837,28.55714460915129,86.18109317729935,2.3831060288641597,0.26683333333333337,4.581754296758045,15.390044105716669,30.274119639658924,drafted,NA,28
11737,Nicholas Castellanos,Reds,"3b, of",613.3333333333334,583.1666666666666,85.60625840575837,28.55714460915129,86.18109317729935,2.3831060288641597,0.26683333333333337,4.581754296758045,15.390044105716669,30.274119639658924,drafted,84.12,28
17232,Yoan Moncada,White Sox,"2b, 3b",616.3333333333334,546.1666666666666,81.63838545785939,23.365662416956813,75.14378069958795,9.03544436103832,0.25266666666666665,4.55303266327717,15.293568568743492,30.084340329829566,drafted,85.04,30
12155,Eddie Rosario,NA,of,545,515.1666666666666,71.1442906648435,26.76168936232153,84.28207962011084,5.405979956288595,0.272,4.529575309488424,15.214775668463428,29.92934495272416,drafted,111.83,15
13301,Max Muncy,Dodgers,"1b, 2b",604,505.1666666666667,89.04503030354506,30.597244792024775,87.95321983167287,3.0137750852208507,0.24,4.493506445015812,15.093620892558183,29.691018528480257,drafted,94.24,14
16472,Rhys Hoskins,Phillies,"1b, of",599.3333333333334,505.5,87.20049413314135,31.106444123247503,88.76505813974347,2.769540691104332,0.23916666666666667,4.437831516070801,14.906609639542578,29.32314427101442,drafted,167.01,26
12164,Miguel Sano,Twins,3b,609,513.1666666666666,85.20669673786317,36.88956663101675,93.56809515023109,0.8217176558617075,0.227,4.406551980746963,14.801542148564108,29.11646352531471,drafted,193.14,15
15362,Jeff McNeil,Mets,"2b, of",630,571.6666666666666,81.75875975364639,18.13999506509744,74.6140666714304,6.7210209660490445,0.28783333333333333,4.40547352568191,14.797919634142298,29.10933759154552,drafted,86.9,6
16505,Matt Chapman,Athletics,3b,610.5,543.6666666666666,85.1920523278969,33.345196566734664,88.45132582749348,1.4968061497661724,0.24366666666666667,4.397867918827156,14.77237251455358,29.059083248571266,drafted,113.29,12
20521,Nick Madrigal,White Sox,2b,616,516.4,68.36038852686978,4.888363171848944,55.831374950894194,18.386406097047786,0.29119999999999996,4.3960159397465315,14.76615174454113,29.04684622479706,drafted,191.37,5
