"Name","Team","G","PA","AB","H","2B","3B","HR","R","RBI","BB","SO","HBP","SB","CS","AVG","OBP","SLG","OPS","wOBA","Fld","BsR","WAR","ADP","playerid"
"Daniel Johnson Jr.","Indians","109","469","425","109","22","3","14","55","55","32","112","5","11","5",".255",".313",".420",".733",".310","-0.3","0.3","0.4","999.0","19643"
"Oscar Mercado","Indians","87","378","343","86","18","1","9","44","40","26","79","4","13","6",".250",".308",".390",".697",".298","0.4","0.8","0.4","999.0","16375"
"Brent Rooker","Twins","66","287","256","63","13","1","13","36","39","23","88","4","2","1",".247",".318",".454",".771",".325","0.0","0.2","0.4","999.0","19627"
"Nick Markakis","","96","413","366","99","23","1","9","46","46","39","63","3","2","1",".271",".343",".412",".755",".323","-1.6","-1.4","0.4","999.0","5930"
"Tyler O'Neill","Cardinals","70","301","270","63","11","1","15","36","41","24","94","3","4","1",".232",".299",".442",".741",".312","0.9","0.5","0.4","999.0","15711"
"Christin Stewart","Tigers","104","448","393","93","18","1","18","52","55","44","111","6","1","1",".237",".320",".427",".747",".317","-3.5","-0.4","0.4","999.0","17714"
"Josh Reddick","","100","434","390","103","18","2","12","49","50","37","72","2","4","1",".263",".327",".414",".742",".316","-2.8","-0.3","0.4","999.0","3892"
"Yusniel Diaz","Orioles","78","336","297","74","13","2","10","38","37","31","70","3","5","3",".250",".325",".404",".729",".312","0.0","0.0","0.4","999.0","sa912848"
"Tyler Naquin","","65","280","258","67","14","1","10","32","35","15","71","3","3","1",".260",".307",".434",".741",".311","0.1","0.2","0.3","999.0","13359"
"Chas McCormick","Astros","87","378","335","80","13","3","8","42","39","34","70","4","8","3",".239",".314",".368",".682",".295","0.0","0.3","0.3","999.0","sa3004174"
"Jarred Kelenic","","76","329","299","71","14","1","11","36","37","23","80","3","7","3",".238",".296",".406",".702",".298","0.0","0.3","0.3","999.0","sa3007741"
"Michael A. Taylor","Royals","78","336","303","70","18","1","9","37","37","25","99","3","10","3",".232",".294",".392",".686",".291","-1.3","1.0","0.3","999.0","11489"
"Trevor Larnach","","32","140","126","33","6","0","4","17","17","11","33","1","1","0",".264",".327",".425",".752",".319","0.0","0.1","0.3","999.0","sa3008376"
"Darin Ruf","Giants","40","175","154","39","8","1","6","20","21","17","43","2","2","1",".254",".332",".429",".761",".323","-0.5","-0.2","0.3","999.0","9929"
"Garrett Stubbs","Astros","53","214","190","42","9","1","4","22","20","18","45","2","5","2",".221",".294",".335",".629",".274","-0.1","0.3","0.3","999.0","18067"
"Bradley Zimmer","Indians","110","476","422","94","20","2","13","52","50","40","152","8","11","4",".224",".301",".372",".673",".290","-0.7","1.1","0.3","999.0","16221"
"Leody Taveras","Rangers","133","574","514","126","22","4","13","66","52","47","140","3","21","8",".245",".311",".380",".691",".296","-1.5","1.1","0.2","999.0","18900"
"Edward Olivares","Royals","76","329","303","78","15","2","8","36","37","18","65","3","10","4",".256",".303",".402",".705",".299","-0.4","0.3","0.2","999.0","19698"
"Matt Joyce","","62","266","226","54","11","1","9","31","30","34","65","2","2","1",".236",".339",".402",".741",".320","-1.3","-0.3","0.2","999.0","3353"
"Pavin Smith","Diamondbacks","41","175","156","42","8","1","5","20","20","16","28","1","1","1",".267",".336",".430",".767",".326","0.1","0.0","0.2","999.0","19892"
"Tim Locastro","Diamondbacks","84","364","320","79","17","2","6","42","34","24","73","15","13","4",".247",".326",".377",".702",".305","-1.8","1.3","0.2","999.0","15124"
"Mike Tauchman","Yankees","53","231","201","48","10","1","6","27","24","25","54","2","5","2",".239",".325",".381",".706",".302","-0.3","0.1","0.2","999.0","15274"
"Steven Souza Jr.","","37","161","138","32","6","1","6","19","19","19","48","2","3","1",".231",".329",".420",".749",".321","-0.4","0.3","0.2","999.0","5667"
"Josh Rojas","Diamondbacks","47","203","179","45","10","1","4","23","20","19","41","2","7","3",".251",".328",".396",".723",".311","0.1","0.2","0.2","999.0","19734"
"Ender Inciarte","Braves","120","518","460","114","20","3","9","56","49","45","90","6","15","6",".247",".319",".359",".678",".294","3.6","2.0","0.2","999.0","4922"
"Dexter Fowler","Cardinals","138","595","509","115","23","1","19","68","62","71","155","7","8","3",".226",".326",".386",".713",".309","-4.8","0.8","0.2","999.0","4062"
"Cedric Mullins II","Orioles","42","182","165","40","7","2","5","21","18","13","36","2","6","2",".245",".304",".392",".696",".297","-1.1","0.7","0.2","999.0","17929"
"Albert Almora Jr.","","49","210","193","50","10","1","5","23","23","13","40","2","2","1",".260",".309",".396",".704",".299","-0.9","-0.2","0.2","999.0","14109"
"Derek Fisher","Blue Jays","36","154","133","30","5","1","6","19","18","17","52","1","3","1",".223",".315",".411",".726",".310","-0.3","0.1","0.2","999.0","16192"
"Willie Calhoun","Rangers","128","553","499","129","24","2","23","67","72","42","93","6","2","1",".258",".319",".452",".772",".324","-0.5","-0.3","0.2","999.0","17838"
"Jake Marisnick","","60","259","234","53","11","1","9","29","30","17","80","4","6","2",".227",".289",".403",".692",".293","-1.2","0.7","0.2","999.0","11339"
"Josh VanMeter","Diamondbacks","44","189","168","42","10","1","5","22","21","17","42","2","4","2",".248",".322",".416",".738",".314","-0.5","0.1","0.2","999.0","15170"
"Travis Demeritte","Tigers","32","140","124","29","6","1","5","16","17","13","43","1","1","1",".235",".312",".426",".739",".313","-0.1","0.1","0.2","999.0","15958"
"LaMonte Wade Jr.","Twins","28","119","102","26","5","1","2","14","12","14","22","2","2","1",".250",".344",".376",".720",".315","-0.7","0.1","0.2","999.0","18126"
"Jay Bruce","","78","336","301","70","14","2","17","42","48","29","81","2","2","1",".233",".302",".463",".765",".318","-0.3","-0.5","0.2","999.0","9892"
"Austin Dean","Cardinals","29","126","114","30","6","0","4","15","15","9","26","1","1","1",".265",".323",".442",".765",".323","-0.3","0.1","0.2","999.0","18288"
"Gregory Polanco","Pirates","118","511","454","104","22","2","22","59","64","48","148","4","8","3",".229",".305",".429",".733",".309","-2.3","0.2","0.2","999.0","12907"
